Latitude,Longitude,Clone
44.89793975,-88.49138758,N1
44.89739981,-88.49140171,
44.88989811,-88.48965522,
44.88944816,-88.489667,
44.88899821,-88.48967878,
44.88854826,-88.48969055,
44.88809831,-88.48970233,
44.88988973,-88.48902226,
44.88943978,-88.48903404,E1
44.88898984,-88.48904582,E1
44.88853989,-88.48905761,
44.88808994,-88.48906939,
44.88763999,-88.48908117,
44.8903313,-88.48837751,
44.88988135,-88.4883893,
44.88943141,-88.48840108,
44.88898146,-88.48841287,
44.88853151,-88.48842466,
44.88808156,-88.48843645,
44.88763161,-88.48844823,
44.88718167,-88.48846002,
44.89032292,-88.48774454,
44.88987297,-88.48775633,
44.88942303,-88.48776813,
44.88897308,-88.48777992,
44.88852313,-88.48779171,
44.88807318,-88.4878035,
44.88762323,-88.4878153,
44.88717328,-88.48782709,
44.89031454,-88.48711157,
44.88986459,-88.48712337,
44.88941464,-88.48713517,
44.88896469,-88.48714697,
44.88851474,-88.48715876,
44.8880648,-88.48717056,
44.88761485,-88.48718236,
44.8871649,-88.48719415,
44.89030615,-88.48647861,
44.8898562,-88.48649041,
44.88940625,-88.48650221,
44.8889563,-88.48651402,
44.88850636,-88.48652582,
44.88805641,-88.48653762,
44.88760646,-88.48654942,
44.89029776,-88.48584564,
44.88984781,-88.48585745,
44.88939786,-88.48586926,
44.88894791,-88.48588106,
44.88849796,-88.48589287,
44.88804802,-88.48590468,
44.88759807,-88.48591648,
44.88714812,-88.48592829,
44.89028936,-88.48521268,
44.88983941,-88.48522449,
44.88938946,-88.4852363,
44.88893952,-88.48524811,
44.88848957,-88.48525993,
44.88803962,-88.48527174,
44.88758967,-88.48528355,
44.88713973,-88.48529536,
44.89073091,-88.48456789,
44.89028096,-88.48457971,
44.88983101,-88.48459153,
44.88938107,-88.48460335,
44.88893112,-88.48461516,
44.88848117,-88.48462698,
44.88803122,-88.4846388,
44.88758128,-88.48465061,
44.89072251,-88.48393492,
44.89027256,-88.48394674,
44.88982261,-88.48395857,
44.88937266,-88.48397039,
44.88892272,-88.48398221,
44.88847277,-88.48399403,
44.88802282,-88.48400586,
44.88757287,-88.48401768,
44.88712293,-88.4840295,
44.88667298,-88.48404132,
44.8907141,-88.48330195,
44.89026415,-88.48331378,
44.8898142,-88.48332561,
